# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator:  3.8.5, git
# Instrument: eqsans_sans.instr
# Ncount: 10000000
# Trace: no
# Gravitation: no
# Seed: 1790184793216889
# Directory: /Users/georgeyumnam/WORK/PANRAID/PaNRAID-results/Group2/panraidproject/scan_sans_sample/x+14_y+06
# Param: gx=0.014
# Param: gy=0.006
# Param: sample_on=1
# Param: R_sphere=100
# Param: Phi=0.01
# Param: bs_radius=0
# Param: samp_ap=0.01
# Date: Wed Sep 23 19:33:48 2026 (1790184828)
# type: array_1d(100)
# Source: EQ_SANS_sample (eqsans_sans.instr)
# component: qmon
# position: 0 0 22.281
# title: QMonitor - Radially averaged distribution
# Ncount: 10000000
# filename: rdet.dat
# statistics: X0=0.0698017; dX=0.0524322;
# signal: Min=0; Max=7.98191e+07; Mean=1.11295e+07;
# values: 1.11295e+09 1.23031e+08 2445
# xvar: r
# yvar: (I,I_err)
# xlabel: Radius [m]
# ylabel: I(r)
# xlimits: 0 0.5
# variables: r I I_err N
0.0025 0 0 0 
0.0075 63043196.27 63043196.27 1 
0.0125 0 0 0 
0.0175 77630019.29 55381824.7 2 
0.0225 18816648.37 18816648.37 1 
0.0275 63651203.21 37856149.16 3 
0.0325 79819063.29 33686107.99 6 
0.0375 76552261.31 32771344.84 6 
0.0425 48731041.68 24913782 4 
0.0475 49443337.46 24499087.95 5 
0.0525 51414489.49 21611169.79 6 
0.0575 36512380.47 17061820.54 5 
0.0625 71998712.54 23236275.72 11 
0.0675 56300420.22 20297171.37 9 
0.0725 35220845.06 15595840.67 6 
0.0775 27754743.8 11861638.36 9 
0.0825 17994048.03 8968078.967 6 
0.0875 40538092.08 14379510.31 9 
0.0925 26842145.39 9750705.948 11 
0.0975 29097117.48 10796104.47 9 
0.1025 24635963.55 8994832.746 10 
0.1075 21530628.69 8573363.076 7 
0.1125 29690368.79 7915662.659 22 
0.1175 16400153.07 6764642.038 9 
0.1225 2564241.676 1951079.146 5 
0.1275 22211308.55 7100876.782 13 
0.1325 18891278.46 5782730.029 17 
0.1375 8968976.364 3412251.623 14 
0.1425 12038272.29 4108162.263 17 
0.1475 4911735.026 2434840.505 8 
0.1525 6035609.299 3382843.292 9 
0.1575 6670673.93 3319481.438 13 
0.1625 4863379.577 2912391.827 12 
0.1675 8542608.695 2617316.68 18 
0.1725 3952818.41 1632565.199 19 
0.1775 3538723.745 1396867.854 18 
0.1825 4590663.293 2091696.211 14 
0.1875 5402074.396 2440057.259 19 
0.1925 3404150.304 1491529.099 16 
0.1975 4710332.32 1752657.026 28 
0.2025 1906813.024 881904.6795 17 
0.2075 1814830.134 878765.5163 26 
0.2125 1972390.521 900268.9886 22 
0.2175 2425797.15 1068409.78 21 
0.2225 1125287.07 489709.7716 25 
0.2275 1997310.355 999697.0319 21 
0.2325 2782253.602 1018420.406 28 
0.2375 1317346.547 515143.2002 26 
0.2425 1672403.865 635966.061 24 
0.2475 1015451.356 461899.0369 29 
0.2525 752438.0535 425628.1352 14 
0.2575 780438.1495 543978.3276 23 
0.2625 634078.5972 200219.3098 29 
0.2675 605410.3408 257904.3992 31 
0.2725 236559.0968 110008.2479 18 
0.2775 283639.4786 128120.0646 27 
0.2825 391134.6943 89625.58878 34 
0.2875 374596.579 96738.02434 30 
0.2925 253247.0992 118637.4389 28 
0.2975 568819.2704 152233.1795 41 
0.3025 213430.736 60037.3075 25 
0.3075 205918.4997 65814.53178 22 
0.3125 302330.5242 130626.8108 29 
0.3175 158535.2478 42822.07678 29 
0.3225 252455.3877 87770.20282 30 
0.3275 166080.1371 43249.37692 33 
0.3325 285529.8658 94528.44918 36 
0.3375 130172.5843 30763.92833 32 
0.3425 161245.0601 41228.78714 31 
0.3475 205945.7945 65204.91547 33 
0.3525 149638.4227 36160.36748 35 
0.3575 184333.2342 41473.5163 36 
0.3625 168414.0938 38863.95536 41 
0.3675 123731.0798 32505.45296 34 
0.3725 159260.0094 36165.84238 45 
0.3775 185185.9642 43334.57675 45 
0.3825 65922.19338 19778.47172 33 
0.3875 149584.4498 36783.1234 34 
0.3925 112641.9967 27735.25493 38 
0.3975 116081.8636 30786.00628 37 
0.4025 107681.1572 27323.33777 33 
0.4075 130261.8787 30520.46736 47 
0.4125 141036.6021 32636.60671 49 
0.4175 112378.2909 26335.272 49 
0.4225 113052.9292 28877.26362 39 
0.4275 120038.7081 29955.64936 38 
0.4325 101830.8238 28025.03863 43 
0.4375 107041.9738 25316.81928 47 
0.4425 74782.30487 20830.65289 42 
0.4475 107651.3949 26649.33085 45 
0.4525 69275.32437 21285.66612 42 
0.4575 62051.80122 19448.57601 33 
0.4625 66432.00889 18991.14079 40 
0.4675 41313.11632 11005.28227 43 
0.4725 54159.22383 15464.42411 37 
0.4775 45715.67307 14438.9046 33 
0.4825 32553.87485 12339.06053 39 
0.4875 52491.28124 16922.37795 48 
0.4925 36799.73031 8603.157539 60 
0.4975 55129.51821 14305.089 49 
