## begin version 0.98 source file header             
## generated at 24## from output of MCNPX case mctal_1.3GalwD2O, described as:   
## mcnp       6.mpi 05/11/18 01:54:38    51        50000000  13067473735331
##  Debug                                                                          
## Pulse shapes are as calculated with point detector tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  1.6006e+14 p/pulse and  1.300 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  1.0000e-05   9.0441e+01   1.6887e+13   4.1354e+23   3.7343e+06   9.1450e+16
  1.1220e-05   8.5382e+01   3.4545e+12   3.0441e+22   9.0793e+05   8.0006e+15
  1.2589e-05   8.0606e+01   4.4974e+12   4.3459e+22   1.4048e+06   1.3575e+16
  1.4125e-05   7.6097e+01   4.5606e+12   4.6065e+22   1.6931e+06   1.7102e+16
  1.5849e-05   7.1840e+01   5.9253e+12   6.2316e+22   2.6144e+06   2.7496e+16
  1.7783e-05   6.7821e+01   7.0023e+12   8.8341e+22   3.6720e+06   4.6326e+16
  1.9953e-05   6.4027e+01   8.2220e+12   1.1277e+23   5.1244e+06   7.0282e+16
  2.2387e-05   6.0446e+01   9.8715e+12   1.3888e+23   7.3122e+06   1.0288e+17
  2.5119e-05   5.7064e+01   1.1218e+13   1.6950e+23   9.8757e+06   1.4923e+17
  2.8184e-05   5.3872e+01   1.3045e+13   2.0949e+23   1.3650e+07   2.1920e+17
  3.1623e-05   5.0859e+01   1.5761e+13   2.7090e+23   1.9599e+07   3.3688e+17
  3.5481e-05   4.8014e+01   1.7688e+13   3.1199e+23   2.6142e+07   4.6112e+17
  3.9811e-05   4.5328e+01   2.0433e+13   3.9774e+23   3.5891e+07   6.9865e+17
  4.4668e-05   4.2792e+01   2.4057e+13   5.0366e+23   5.0223e+07   1.0515e+18
  5.0119e-05   4.0399e+01   2.7791e+13   6.0329e+23   6.8955e+07   1.4969e+18
  5.6234e-05   3.8139e+01   3.0861e+13   7.0317e+23   9.1006e+07   2.0736e+18
  6.3096e-05   3.6005e+01   3.6253e+13   1.2549e+24   1.2706e+08   4.3983e+18
  7.0795e-05   3.3991e+01   3.9339e+13   1.0386e+24   1.6386e+08   4.3264e+18
  7.9433e-05   3.2090e+01   4.5888e+13   1.2928e+24   2.2717e+08   6.4002e+18
  8.9125e-05   3.0295e+01   5.2117e+13   1.5742e+24   3.0665e+08   9.2626e+18
  1.0000e-04   2.8600e+01   5.8011e+13   1.8925e+24   4.0567e+08   1.3234e+19
  1.1220e-04   2.7000e+01   6.4800e+13   2.3962e+24   5.3856e+08   1.9915e+19
  1.2589e-04   2.5490e+01   7.4315e+13   2.9071e+24   7.3407e+08   2.8716e+19
  1.4125e-04   2.4064e+01   8.2451e+13   3.2756e+24   9.6797e+08   3.8456e+19
  1.5849e-04   2.2718e+01   9.0229e+13   3.6343e+24   1.2589e+09   5.0708e+19
  1.7783e-04   2.1447e+01   9.9393e+13   4.1840e+24   1.6482e+09   6.9383e+19
  1.9953e-04   2.0247e+01   1.1094e+14   5.4965e+24   2.1866e+09   1.0833e+20
  2.2387e-04   1.9115e+01   1.2261e+14   5.8541e+24   2.8721e+09   1.3713e+20
  2.5119e-04   1.8045e+01   1.3443e+14   6.4531e+24   3.7424e+09   1.7965e+20
  2.8184e-04   1.7036e+01   1.4684e+14   7.7718e+24   4.8587e+09   2.5715e+20
  3.1623e-04   1.6083e+01   1.6182e+14   8.4823e+24   6.3636e+09   3.3356e+20
  3.5481e-04   1.5183e+01   1.7533e+14   9.3647e+24   8.1943e+09   4.3768e+20
  3.9811e-04   1.4334e+01   1.9242e+14   1.0893e+25   1.0688e+10   6.0506e+20
  4.4668e-04   1.3532e+01   2.0894e+14   1.2753e+25   1.3794e+10   8.4191e+20
  5.0119e-04   1.2775e+01   2.2675e+14   1.3744e+25   1.7791e+10   1.0784e+21
  5.6234e-04   1.2061e+01   2.4472e+14   1.5211e+25   2.2821e+10   1.4185e+21
