# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator:  3.8.5, git
# Instrument: eqsans_1_fixed.instr
# Ncount: 10000000
# Trace: no
# Gravitation: no
# Seed: 1790169005221493
# Directory: run_eqsans_fixed
# Date: Wed Sep 23 15:10:26 2026 (1790169026)
# type: array_1d(120)
# Source: EQ_SANS (eqsans_1_fixed.instr)
# component: lambda_det
# position: 0 0 22.28
# title: Wavelength monitor
# Ncount: 10000000
# filename: lambda_det.dat
# statistics: X0=4.05335; dX=0.978602;
# signal: Min=0; Max=8.98637e+06; Mean=1.40834e+06;
# values: 1.69001e+08 311549 576034
# xvar: L
# yvar: (I,I_err)
# xlabel: Wavelength [AA]
# ylabel: Intensity
# xlimits: 0 12
# variables: L I I_err N
0.05 0 0 0 
0.15 0 0 0 
0.25 0 0 0 
0.35 0 0 0 
0.45 0 0 0 
0.55 0 0 0 
0.65 0 0 0 
0.75 0 0 0 
0.85 0 0 0 
0.95 0 0 0 
1.05 0 0 0 
1.15 0 0 0 
1.25 0 0 0 
1.35 0 0 0 
1.45 0 0 0 
1.55 0 0 0 
1.65 0 0 0 
1.75 0 0 0 
1.85 0 0 0 
1.95 0 0 0 
2.05 2638.924607 1369.756673 7 
2.15 11657.33853 2778.175211 30 
2.25 34717.27444 4536.214063 106 
2.35 111057.7123 8280.273532 321 
2.45 241764.0249 12140.01269 795 
2.55 527413.1468 17709.9013 1735 
2.65 1168684.104 26200.59359 3990 
2.75 3400972.693 44606.64306 11762 
2.85 7018773.886 63968.47127 24156 
2.95 8986368.187 72255.63232 31023 
3.05 8837938.115 71536.14837 30215 
3.15 8360408.164 69344.93364 29044 
3.25 8198264.78 68861.19576 27817 
3.35 7749684.674 66995.65604 26316 
3.45 7409274.557 65370.13644 25208 
3.55 6983060.765 63253.08788 23967 
3.65 6741099.993 62332.37549 22995 
3.75 6447323.246 60980.01771 21882 
3.85 6090030.126 59088.4434 20830 
3.95 5695099.962 57052.54067 19444 
4.05 5436479.265 55871.58896 18537 
4.15 5078336.483 53908.81181 17336 
4.25 4845817.575 52777.21997 16500 
4.35 4567424.915 51227.04936 15496 
4.45 4313526.191 49651.90937 14769 
4.55 4111420.267 48230.72855 14060 
4.65 3855567.235 46819.85383 13207 
4.75 3637077.265 45474.02028 12515 
4.85 3445135.474 44284.54824 11840 
4.95 3345224.541 43718.96614 11312 
5.05 3070700.3 41663.80314 10602 
5.15 2894225.133 40519.73764 9957 
5.25 2773143.546 39567.83139 9533 
5.35 2584008.288 38353.91193 8798 
5.45 2469197.884 37361.7341 8322 
5.55 2363464.248 36684.60024 7948 
5.65 2199919.55 35378.64727 7333 
5.75 2099984.404 34334.89009 7090 
5.85 2052855.904 34252.0538 6819 
5.95 1878115.55 32774.99291 6158 
6.05 1790017.689 31950.50644 5920 
6.15 1660880.856 30456.47035 5564 
6.25 1453060.856 28751.03626 4937 
6.35 1387150.309 28312.04369 4456 
6.45 1062306.723 24699.79899 3429 
6.55 516487.861 17366.31367 1651 
6.65 92773.93679 7315.117713 302 
6.75 0 0 0 
6.85 0 0 0 
6.95 0 0 0 
7.05 0 0 0 
7.15 0 0 0 
7.25 0 0 0 
7.35 0 0 0 
7.45 0 0 0 
7.55 0 0 0 
7.65 0 0 0 
7.75 0 0 0 
7.85 0 0 0 
7.95 0 0 0 
8.05 0 0 0 
8.15 0 0 0 
8.25 0 0 0 
8.35 0 0 0 
8.45 0 0 0 
8.55 0 0 0 
8.65 0 0 0 
8.75 0 0 0 
8.85 0 0 0 
8.95 0 0 0 
9.05 0 0 0 
9.15 0 0 0 
9.25 0 0 0 
9.35 0 0 0 
9.45 0 0 0 
9.55 0 0 0 
9.65 0 0 0 
9.75 0 0 0 
9.85 0 0 0 
9.95 0 0 0 
10.05 0 0 0 
10.15 0 0 0 
10.25 0 0 0 
10.35 0 0 0 
10.45 0 0 0 
10.55 0 0 0 
10.65 0 0 0 
10.75 0 0 0 
10.85 0 0 0 
10.95 0 0 0 
11.05 0 0 0 
11.15 0 0 0 
11.25 0 0 0 
11.35 0 0 0 
11.45 0 0 0 
11.55 0 0 0 
11.65 0 0 0 
11.75 0 0 0 
11.85 0 0 0 
11.95 0 0 0 
